,0
דְּמִקְּרַע,דמקרע
דְּמִגַּלְגַּל,דמגלגל
וּמִחֲזֵי,ומיחזי
דְּעָקַר,דעקר
דְכִסְלָא,דכסלא
חַבְרֵהּ,חבריה
מֵהַךְ,מהך
וּמִבְּעִית,ומיבעית
עָשׁ,עש
וְכִימָה,וכימה
עֹשֵׂה,עושה
כִימָה,כימה
וּכְסִיל,וכסיל
נִתְקַיֵּם,נתקיים
כִּימָה,כימה
עֻקְצָא,עוקצא
דְעַקְרַבָּא,דעקרבא
בִּנְהַר,בנהר
דִּינוּר,דינור
טָרְקָא,טרקא
עַקְרַבָּא,עקרבא
חָיֵי,חיי
לְאִיּוֹב,לאיוב
הַתְקַשֵּׁר,התקשר
מַעֲדַנּוֹת,מעדנות
מֹשְׁכוֹת,מושכות
תְּפַתֵּחַ,תפתח
כִּמְאָה,כמאה
כֹּכְבֵי,ככבי
דִּמְכַנְּפִי,דמכנפי
דִּמְבַדְּרָן,דמבדרן
יוֹתָא,יותא
זְנַב,זנב
טָלֶה,טלה
דְעִגְלָא,דעגלא
וּמִסְתַּבְּרָא,ומסתברא
וְעַיִשׁ,ועיש
בָּנֶיהָ,בניה
תַנְחֵם,תנחם
חָסְרָה,חסרה
וּמִתְחַזְיָא,ומתחזיא
כְּטִרְפָּא,כטרפא
דִּטְרִיף,דטריף
דְּאָזְלָא,דאזלא
בְּנַי,בני
שֶׁבְּשָׁעָה,שבשעה
מַבּוּל,מבול
מִכִּימָה,מכימה
וְהֵבִיא,והביא
וּכְשֶׁבִּקֵּשׁ,וכשביקש
לְסׇתְמָהּ,לסתמה
מֵעַיִשׁ,מעיש
וּסְתָמָהּ,וסתמה
וְלַהְדַּר,וליהדר
קָטֵגוֹר,קטיגור
סָנֵגוֹר,סניגור
וְלִבְרֵי,וליברי
הַשָּׁמֶשׁ,השמש
זְוָעוֹת,זועות
גּוּהָא,גוהא
קָאָזֵיל,קאזיל
אוֹבָא,אובא
גְּנַח,גנח
קָלָא,קלא
שֶׁשְּׁרוּיִים,ששרויים
מוֹרִיד,מוריד
דְמָעוֹת,דמעות
לַיָּם,לים
וְקוֹלוֹ,וקולו
מִסּוֹף,מסוף
כַּדִּיב,כדיב
וּמִלֵּהּ,ומיליה
כְּדִיבִין,כדיבין
אוֹדִי,אודי
לִטְעֵי,ליטעי
סוֹפֵק,סופק
אַכֶּה,אכה
כַפִּי,כפי
חֲמָתִי,חמתי
מִתְאַנֵּחַ,מתאנח
וְהַנִּחֲתֵי,והניחותי
חַמָּתִי,חמתי
וְהַנִּחַמְתִּי,והנחמתי
בּוֹעֵט,בועט
הֵידָד,הידד
כְּדֹרְכִים,כדורכים
כִּסְאִי,כסאי
הֲדֹם,הדום
רַגְלָי,רגלי
רְעָמִים,רעמים
עֲנָנֵי,ענני
בְּגַלְגַּלָּא,בגלגלא
רַעַמְךָ,רעמך
בַּגַּלְגַּל,בגלגל
הֵאִירוּ,האירו
בְרָקִים,ברקים
תֵּבֵל,תבל
רָגְזָה,רגזה
וַתִּרְעַשׁ,ותרעש
דְּשָׁפְכִי,דשפכי
תִּתּוֹ,תתו
הֲמוֹן,המון
בַּרְקָא,ברקא
תַּקִּיפָא,תקיפא
דְּבָרֵק,דבריק
בַּעֲנָנָא,בעננא
וּמְתַבַּר,ומתבר
דְבַרְזָא,דברזא
חַלְחוֹלֵי,חלחולי
מְחַלְחֲלִי,מחלחלי
זִיקָא,זיקא
וּמְנַשֵּׁב,ומנשב
אַפֻּמַּיְהוּ,אפומייהו
וְדָמֵי,ודמי
כְּזִקָּא,כזיקא
וּמְנַהֲמֵי,ומנהמי
זַעְפָּא,זעפא
דְּזַעְפָּא,דזעפא
תָקוּם,תקום
פַּעֲמַיִם,פעמיים
צָרָה,צרה
דְּמַפְסִיק,דמפסיק
בְּרָקִים,ברקים
יְחִידָאָה,יחידאה
וּבַרְקָא,וברקא
יְרֻקְתָּא,ירוקתא
וַעֲנָנֵי,וענני
דְּסָלְקָן,דסלקן
מַעֲרָבִית,מערבית
מִקֶּרֶן,מקרן
דְּרוֹמִית,דרומית
לְאַפֵּי,לאפי
לְמִבְעֵי,למיבעי
בְּצַפְרָא,בצפרא
מְשָׁשָׁא,מששא
דְצַפְרָא,דצפרא
וְחַסְדְּכֶם,וחסדכם
כַּעֲנַן,כענן
מִפְתָּח,מיפתח
חַמָּרָא,חמרא
מוּךְ,מוך
שַׂקָּךָ,שקיך
וּגְנִי,וגני
דִּקְטִר,דקטר
בְּעֵיבָא,בעיבא
בַּעֲנָנֵי,בענני
אֲלֶכְּסַנְדְּרִי,אלכסנדרי
לִפְשֹׁט,לפשוט
עַקְמוּמִית,עקמומית
שֶׁבַּלֵּב,שבלב
הַקֶּשֶׁת,הקשת
בֶּעָנָן,בענן
שֶׁיִּפֹּל,שייפול
כְּמַרְאֵה,כמראה
וָאֶרְאֶה,ואראה
וָאֶפֹּל,ואפול
דְּמִחֲזֵי,דמיחזי
דְּסָגֵד,דסגיד
לְקַשְׁתָּא,לקשתא
בְּרֹקָא,ברוקא
נֶאֱמָן,נאמן
בִּבְרִיתוֹ,בבריתו
בְּמַאֲמָרוֹ,במאמרו
נֵימְרִינְהוּ,נימרינהו
לְתַרְוַיְהוּ,לתרוייהו
לַמָּטָר,למטר
כְּרֹךְ,כרוך
רָקִיעַ,רקיע
בְּטׇהֳרָתָהּ,בטהרתה
אִמַּתִּי,אימתי
אִסְתָּנָא,אסתנא
וּמְגַלְּיָא,ומגליא
לִשְׁמַיָּא,לשמיא
דְּרַפְרָם,דרפרם
אַלְבִּישׁ,אלביש
קַדְרוּת,קדרות
וְשַׂק,ושק
כְּסוּתָם,כסותם
בִּתְקוּפָתָהּ,בתקופתה
לְבָנָה,לבנה
בִּגְבוּרָתָהּ,בגבורתה
וְכוֹכָבִים,וכוכבים
בִּמְסִלּוֹתָם,במסילותם
כְּסִדְרָן,כסדרן
שְׁנִין,שנין
וְהָדַר,והדר
מַחְזוֹר,מחזור
וְנָפְלָה,ונפלה
תְּקוּפַת,תקופת
בְּשַׁבְּתַאי,בשבתאי
בְּאוּרְתָּא,באורתא
דִּתְלָת,דתלת
נַגְהֵי,נגהי
פְּרָת,פרת
אַגִּשְׁרָא,אגישרא
דְבָבֶל,דבבל
דְּשַׁנְיוּהּ,דשניוה
וּלְעֵיל,ולעיל
מֵאִיהִי,מאיהי
דְקִירָא,דקירא
דִּגְלַת,דגלת
דְּשָׁבִיסְתְּנָא,דשביסתנא
חִדֶּקֶל,חדקל
שֶׁמֵּימָיו,שמימיו
חַדִּין,חדין
וְקַלִּין,וקלין
פָּרִין,פרין
וְרָבִין,ורבין
דַּחֲרִיפֵי,דחריפי
מָחוֹזָא,מחוזא
דְּשָׁתוּ,דשתו
דְּדִגְלַת,דדגלת
דְּגִיחוֹרֵי,דגיחורי
דִּמְשַׁמְּשִׁי,דמשמשי
דְּנָיְדִי,דניידי
דְּדָיְרוּ,דדיירו
מִשֶּׁיֵּצֵא,משייצא
טִפָּה,טיפה
וְטִפָּה,וטיפה
שֶׁהוֹרַדְתָּ,שהורדת
כַּיָּם,כים
מַסְפִּיקִין,מספיקין
תִּשְׁתַּחֲוֶה,תשתחוה
הַהוֹדָאוֹת,ההודאות
דִּשְׁמַע,דשמע
מִשְׁמָע,משמע
שֻׁתָּפוּת,שותפות
קׇצְרוֹ,קצרו
לְאַחֲרִינָא,לאחרינא
בְּזָכָר,בזכר
יוֹרְשׁוֹ,יורשו
אֲחֵי,אחי
יָרְתִי,ירתי
חֲבוּרָה,חבורה
קָנָה,קנה
לְלִשָּׁנָא,ללישנא
בָּתְרָא,בתרא
דִּלְרַבִּי,דלרבי
בְּיֵשׁ,ביש
וְלִפַּלְגוּ,וליפלגו
בְּקָנָה,בקנה
דִּשְׁקַל,דשקל
בִּדְקָא,בדקא
בְּאַרְעֵהּ,בארעיה
דְּטָבָא,דטבא
דְּמַסְּקָא,דמסקא
שִׂרְטוֹן,שירטון
וְשָׁבְחָא,ושבחא
דְּאַשְׁכַּח,דאשכח
מְצִיאָה,מציאה
דְּרָעָה,דרעה
מַהֲנֵי,מהני
וַתִּקְרָא,ותקרא
דִּינָה,דינה
שֶׁדָּנָה,שדנה
בְּעַצְמָהּ,בעצמה
שְׁבָטִים,שבטים
עֲתִידִין,עתידין
מִיַּעֲקֹב,מיעקב
הַשְּׁפָחוֹת,השפחות
אֲחוֹתִי,אחותי
נֶהֶפְכָה,נהפכה
לְבַת,לבת
דְּלֵאָה,דלאה
יְבַקֵּשׁ,יבקש
יַסְרִיחַ,יסריח
מֵאַרְבָּעִים,מארבעים
סַנְדָּל,סנדל
נֵפֶל,נפל
מִשִּׁשָּׁה,משישה
בְּשָׁלוֹם,בשלום
מְהַנֵּי,מהני
מַזְרִיעַ,מזריע
נְקֵבָה,נקבה
מַזְרַעַת,מזרעת
תַזְרִיעַ,תזריע
וְיָלְדָה,וילדה
שֶׁהִזְרִיעוּ,שהזריעו
בְּהִלֵּל,בהלל
מִשְּׁמוּעָה,משמועה
נָכוֹן,נכון
בָּטֻחַ,בטוח
בַּה',בה'
דְּדָרְשַׁתְּ,דדרשת
מִדְּרִישׁ,מדריש
לְרֵישֵׁהּ,לרישיה
תַּלְמִידָא,תלמידא
דְּצִיּוֹן,דציון
מְפַחֵד,מפחד
חַטָּאָה,חטאה
פָּחֲדוּ,פחדו
בְצִיּוֹן,בציון
חֲטָאִים,חטאים
אִתְּנַח,אתנח
אַנַּפְשֵׁהּ,אנפשיה
פַחַד,פחד
פָּחַדְתִּי,פחדתי
וַיֶּאֱתָיֵנִי,ויאתיני
יָגֹרְתִּי,יגורתי
שֶׁתַּכְנִיסֵנִי,שתכניסני
שֶׁהִכְנַסְתַּנִי,שהכנסתני
אֲבוֹתַי,אבותי
שֶׁתּוֹצִיאֵנִי,שתוציאני
מִכְּרַךְ,מכרך
שֶׁהוֹצֵאתַנִי,שהוצאתני
תּוֹלִיכֵנִי,תוליכני
בִּכְרַךְ,בכרך
דָּנִין,דנין
וְהוֹרְגִין,והורגין
שֶׁדָּנִין,שדנין
שֶׁתַּצִּילֵנִי,שתצילני
קַלְקָלָה,קלקלה
מִיתָתִי,מיתתי
עֲוֹנֹתַי,עונותי
לִפְתַּח,לפתח
לְשָׂטָן,לשטן
כִּמְעָט,כמעט
לַעֲמֹרָה,לעמורה
דָּמִינוּ,דמינו
שֶׁהִצַּלְתַּנִי,שהצלתני
בָנֵי,בני
אִפְּחִית,אפחית
מִתּוּתֵהּ,מתותיה
עַמּוּדָא,עמודא
שֵׁזִיב,שזיב
אֵבְרֵהּ,איבריה
לְהַקִּיז,להקיז
עֵסֶק,עסק
וּתְרַפְּאֵנִי,ותרפאני
רוֹפֵא,רופא
אָתָּה,אתה
וּרְפוּאָתְךָ,ורפואתך
דַּרְכָּן,דרכן
לְרַפּאוֹת,לרפאות
וְרַפֹּא,ורפא
יְרַפֵּא,ירפא
לָרוֹפֵא,לרופא
חִנָּם,חינם
הִתְכַּבְּדוּ,התכבדו
מְכֻבָּדִים,מכובדים
קְדוֹשִׁים,קדושים
מְשָׁרְתֵי,משרתי
לֵאלֹהֵי,לאלהי
הַרְפּוּ,הרפו
שֶׁאִכָּנֵס,שאכנס
רְצוֹנִי,רצוני
וְאָבֹא,ואבא
שָׁבְקִי,שבקי
שִׁמְרוּנִי,שמרוני
עִזְרוּנִי,עזרוני
סִמְכוּנִי,סמכוני
הַמְתִּינוּ,המתינו
שֶׁאֶכָּנֵס,שאיכנס
וְאֵצֵא,ואצא
חֲלָלִים,חללים
כְּבוֹדֶךָ,כבודך
יִפָּתֵחַ,ייפתח
יִסָּתֵם,ייסתם
חוֹלִים,חולים
שַׁוִּינְהוּ,שוינהו
קְצִירֵי,קצירי
מַפְלִיא,מפליא
וּמַפְלִיא,ומפליא
לִישַׁן,לישן
מִשְּׁמַע,משמע
הַמַּפִּיל,המפיל
חַבְלֵי,חבלי
וּתְנוּמָה,ותנומה
עַפְעַפַּי,עפעפי
וּמֵאִיר,ומאיר
לְאִישׁוֹן,לאישון
שֶׁתַּשְׁכִּיבֵנִי,שתשכיבני
וְתַרְגִּילֵנִי,ותרגילני
תַּרְגִּילֵנִי,תרגילני
תְּבִיאֵנִי,תביאני
בִזָּיוֹן,בזיון
וְיִשְׁלֹט,וישלוט
וּמֵחֳלָאִים,ומחולאים
יְבַהֲלוּנִי,יבהלוני
וְהִרְהוּרִים,והרהורים
וּתְהֵא,ותהא
אִישַׁן,אישן
הַמֵּאִיר,המאיר
בִּכְבוֹדוֹ,בכבודו
מִתְּעַר,מתער
יְצַרְתָּהּ,יצרתה
נְפַחְתָּהּ,נפחתה
מְשַׁמְּרָהּ,משמרה
בְּקִרְבִּי,בקרבי
לִטְּלָהּ,ליטלה
וּלְהַחֲזִירָהּ,ולהחזירה
לְעָתִיד,לעתיד
אֲדוֹן,אדון
הַנְּשָׁמוֹת,הנשמות
הַמַּחֲזִיר,המחזיר
נְשָׁמוֹת,נשמות
לִפְגָרִים,לפגרים
לַשֶּׂכְוִי,לשכווי
לְהַבְחִין,להבחין
פּוֹקֵחַ,פוקח
עִוְּרִים,עורים
תָּרֵץ,תריץ
מַלְבִּישׁ,מלביש
עֲרֻמִּים,ערומים
זָקֵף,זקף
נָחֵת,נחית
רֹקַע,רוקע
הַמָּיִם,המים
הַמֵּכִין,המכין
מִצְעֲדֵי,מצעדי
גָבֶר,גבר
צׇרְכִּי,צרכי
הֶמְיָנֵהּ,המייניה
אוֹזֵר,אוזר
עוֹטֵר,עוטר
בְּתִפְאָרָה,בתפארה
מִעֲטַף,מעטף
בְּצִיצִית,בציצית
לְהִתְעַטֵּף,להתעטף
אַדְּרָעֵהּ,אדרעיה
לְהַנִּיחַ,להניח
אַרֵישֵׁהּ,ארישיה
נְטִילַת,נטילת
הַמַּעֲבִיר,המעביר
מֵעֵינָי,מעיני
מֵעַפְעַפָּי,מעפעפי
שֶׁתַּרְגִּילֵנִי,שתרגילני
וְדַבְּקֵנִי,ודבקני
בְּמִצְוֹתֶיךָ,במצותיך
וְכוֹף,וכוף
יִצְרִי,יצרי
לְהִשְׁתַּעְבֵּד,להשתעבד
וְרַחֲקֵנִי,ורחקני
וּמֵחָבֵר,ומחבר
וּבְחָבֵר,ובחבר
וּתְנֵנִי,ותנני
וּלְחֶסֶד,ולחסד
וְתִגְמְלֵנִי,ותגמלני
לְקַבּוֹלִינְהוּ,לקבולינהו
אָשִׁירָה,אשירה
אֲזַמֵּרָה,אזמרה
אֲהַלֵּל,אהלל
בֵּאלֹהִים,באלוהים
וְיָגוֹן,ויגון
אֶמְצָא,אמצא
לָקָח,לקח
דְּעָבֵד,דעביד
אֻשְׁפִּיזָא,אושפיזא
וּבָת,ובת
וַחֲמָרָא,וחמרא
וּשְׁרָגָא,ושרגא
כַּבְיֵהּ,כבייה
לִשְׁרָגָא,לשרגא
אַכְלֵהּ,אכליה
לְתַרְנְגוֹלָא,לתרנגולא
אַרְיָה,אריה
לַחֲמָרָא,לחמרא
גְּיָסָא,גייסא
שַׁבְיַהּ,שבייה
שֶּׁעוֹשֶׂה,שעושה
מוּעָטִין,מועטין
תְּבַהֵל,תבהל
וְלִבְּךָ,ולבך
יְמַהֵר,ימהר
מְעַטִּים,מעטים
וַיִּיצֶר,וייצר
יְצָרִים,יצרים
בָּרָא,ברא
יִצְרָא,יצרא
דְּמַזְּקָא,דמזקא
ונשכא,ונשכא
וּבָעֲטָא,ובעטא
מִיּוֹצְרִי,מיוצרי
מִיִּצְרִי,מיצרי
דּוּ,דו
פַּרְצוּפִין,פרצופין
בָּאָדָם,באדם
אָחוֹר,אחור
וָקֶדֶם,וקדם
צַרְתָּנִי,צרתני
וַיִּבֶן,וייבן
הַצֵּלָע,הצלע
פַּרְצוּף,פרצוף
זָנָב,זנב
כִּדְרַבִּי,כדרבי
לְפֻרְעָנוּת,לפורענות
דְּנָחָשׁ,דנחש
בִּגְדֻלָּה,בגדולה
וּבִקְלָלָה,ובקללה
אַהֲרֹן,אהרון
אִיתָמָר,איתמר
הַנּוֹתָרִים,הנותרים
קְחוּ,קחו
בִּקְלָלָה,בקללה
נִתְקַלֵּל,נתקלל
חַוָּה,חוה
דְּמַבּוּל,דמבול
וַיִּמַח,וימח
הַיְקוּם,היקום
וּנְקֵבָה,ונקבה
בְּרָאָם,בראם
בְּצֶלֶם,בצלם
בְּמַחְשָׁבָה,במחשבה
לִבְרֹאת,לבראת
וַיִּסְגֹּר,ויסגור
תַּחְתֶּנָּה,תחתנה
חֲתָךְ,חתך
דִּדְרָשׁ,דדרש
הַצֶּלַע,הצלע
שֶׁקִּלְּעָהּ,שקילעה
לְחַוָּה,לחוה
וֶהֱבִיאָהּ,והביאה
לְקַלָּעִיתָא,לקלעיתא
בַּנָּיְתָא,בנייתא
שֶׁבְּנָאָהּ,שבנאה
כְּבִנְיַן,כבניין
קָצָר,קצר
וְרָחָב,ורחב
לְקַבֵּל,לקבל
הַוָּלָד,הולד
וַיְבִיאֶהָ,ויביאה
שׁוֹשְׁבִין,שושבין
לִמְּדָה,למדה
בְּשׁוֹשְׁבִינוּת,בשושבינות
יֵרַע,ירע
הַגֶּשֶׁר,הגשר
יְסַלְּקֶנָּה,יסלקנה
בַּנָּהָר,בנהר
הַמַּרְצֶה,המרצה
מָעוֹת,מעות
מִיָּדוֹ,מידו
לְיָדָהּ,לידה
כְּמֹשֶׁה,כמשה
יִנָּקֶה,ינקה
מִדִּינָהּ,מדינה
לְיָד,ליד
רָּע,רע
מָנוֹחַ,מנוח
אַחֲרֶיהָ,אחריה
דְּבָרֶיהָ,דבריה
עֲצָתָהּ,עצתה
וּלְמַאי,ולמאי
וַתָּקׇם,ותקם
רִבְקָה,רבקה
וְנַעֲרֹתֶיהָ,ונערותיה
וַתִּרְכַּבְנָה,ותרכבנה
הַגְּמַלִּים,הגמלים
וַתֵּלַכְנָה,ותלכנה
לִזְבוּב,לזבוב
וְיוֹשֵׁב,ויושב
מִפְתְּחֵי,מפתחי
זְבוּבֵי,זבובי
יַבְאִישׁ,יבאיש
יַבִּיעַ,יביע
רוֹקֵחַ,רוקח
לַפֶּתַח,לפתח
חַטָּאת,חטאת
רוֹבֵץ,רובץ
כְּלָיוֹת,כליות
בְּאָדָם,באדם
יוֹעַצְתּוֹ,יועצתו
דְּטוֹבָה,דטובה
לִימִינוֹ,לימינו
וְרָעָה,ורעה
לִשְׂמֹאלוֹ,לשמאלו
וְלֵב,ולב
יוֹעֲצוֹת,יועצות
מֵבִין,מבין
מְחַתֵּךְ,מחתך
רֵאָה,ריאה
שׁוֹאֶבֶת,שואבת
זוֹרֶקֶת,זורקת
וּמְנִיחָתוֹ,ומניחתו
שׂוֹחֵק,שוחק
קֻרְקְבָן,קורקבן
טוֹחֵן,טוחן
קֵבָה,קיבה
יְשֵׁנָה,ישנה
נֵעוֹר,נעור
הַנֵּעוֹר,הניעור
נִמּוֹק,נימוק
נֵעוֹרִים,נעורים
שׁוֹפְטָן,שופטן
וּלְבֵי,ולבי
בְּקִרְבֵי,בקרבי
לָרָשָׁע,לרשע
פַּחַד,פחד
בֵּינוֹנִים,בינונים
יַעֲמֹד,יעמוד
לִימִין,לימין
לְהוֹשִׁיעַ,להושיע
מִשֹּׁפְטֵי,משופטי
לְרַשִּׁיעֵי,לרשיעי
גְּמוּרֵי,גמורי
לְצַדִּיקִי,לצדיקי
לִדַּע,לידע
בְּנַפְשֵׁהּ,בנפשיה
לְאַחְאָב,לאחאב
עָמְרִי,עמרי
שֶׁגּוּפוֹ,שגופו
מִמָּמוֹנוֹ,מממונו
שֶׁמָּמוֹנוֹ,שממונו
מִגּוּפוֹ,מגופו
גָּזְרָה,גזרה
יַעַסְקוּ,יעסקו
פַּפּוּס,פפוס
וּמְצָאוֹ,ומצאו
מַקְהִיל,מקהיל
קְהִלּוֹת,קהילות
לְשׁוּעָל,לשועל
מִתְקַבְּצִים,מתקבצים
בּוֹרְחִים,בורחים
רְשָׁתוֹת,רשתות
שֶׁמְּבִיאִין,שמביאין
רְצוֹנְכֶם,רצונכם
שֶׁתַּעֲלוּ,שתעלו
לַיַּבָּשָׁה,ליבשה
וְנָדוּר,ונדור
שֶׁדָּרוּ,שדרו
אֲבוֹתֵיכֶם,אבותיכם
פִּקֵּחַ,פיקח
שֶׁבְּחַיּוֹת,שבחיות
חִיּוּתֵנוּ,חיותנו
מִתְיָרְאִין,מתייראין
מִיתָתֵנוּ,מיתתנו
שֶׁאָנוּ,שאנו
וְעוֹסְקִים,ועוסקים
שֶׁכָּתוּב,שכתוב
וּמְבַטְּלִים,ומבטלים
שֶׁתְּפָסוּהוּ,שתפסוהו
וַחֲבָשׁוּהוּ,וחבשוהו
וְתָפְסוּ,ותפסו
לְפַפּוּס,לפפוס
הֲבִיאֲךָ,הביאך
לְכָאן,לכאן
שֶׁנִּתְפַּסְתָּ,שנתפסת
שֶׁנִּתְפַּס,שנתפס
שֶׁהוֹצִיאוּ,שהוציאו
לַהֲרִיגָה,להריגה
סוֹרְקִים,סורקים
בְּמַסְרְקוֹת,במסרקות
נִשְׁמָתְךָ,נשמתך
וַאֲקַיְּמֶנּוּ,ואקיימנו
אֲקַיְּימֶנּוּ,אקיימנו
שֶׁיָּצְתָה,שיצתה
נִשְׁמָתוֹ,נשמתו
שֶׁיָּצְאָה,שיצאה
שְׂכָרָהּ,שכרה
מִמְתִים,ממתים
חֶלְקָם,חלקם
בַּחַיִּים,בחיים
מְזֻומָּן,מזומן
הַצּוֹפִים,הצופים
וּבְרֹאֶה,וברואה
אִיתְּמַר,איתמר
וּבְשֶׁאֵין,ובשאין
שֶׁהַשְּׁכִינָה,שהשכינה
בִּיהוּדָה,ביהודה
וּבַגָּלִיל,ובגליל
אָסְרוּ,אסרו
בְּרֹאֶה,ברואה
וּבְמָקוֹם,ובמקום
אוֹסְרִים,אוסרים
בֵּינַיְיהוּ,בינייהו
צְדָדִין,צדדין
אִידַּךְ,אידך
בְּרוֹאֶה,ברואה
מֻותָּר,מותר
שַׁדְיָן,שדיין
שְׁדַנְהוּ,שדנהו
צְפוֹן,צפון
תָּרְצַנְהוּ,תרצנהו
דְּקָמְצַעַר,דקמצער
נִפְנִין,נפנין
נִפְרָעִין,נפרעין
מְקַנְּחִין,מקנחין
הֵעַזְתָּ,העזת
בְּרַבְּךָ,ברבך
וְלִלְמֹד,וללמוד
גְּנָא,גנא
תּוּתֵהּ,תותיה
פֻּרְיֵהּ,פורייה
דְּשָׂח,דשח
וְשָׂחַק,ושחק
כִּדְלָא,כדלא
שָׂרֵף,שריף
שֶׁהַתּוֹרָה,שהתורה
קְרוֹבָה,קרובה
לַפֶּה,לפה
שֶׁקּוֹשֵׁר,שקושר
שֶׁמַּרְאֶה,שמראה
טַעֲמֵי,טעמי
שֶׁאוֹכֵל,שאוכל
שֶׁכּוֹתֵב,שכותב
הַצָּנוּעַ,הצנוע
נִצּוֹל,ניצול
הַנְּחָשִׁים,הנחשים
הָעַקְרַבִּים,העקרבים
חֲלוֹמוֹתָיו,חלומותיו
מְיֻשָּׁבִים,מיושבים
תְרֵי,תרי
מִתַּזְּקִי,מתזקי
מִסְתְּפֵיתוּ,מסתפיתו
קַבָּלָה,קבלה
גְּמִירִינַן,גמירינן
צְנִיעוּתָא,צניעותא
וּשְׁתִיקוּתָא,ושתיקותא
דְיִסּוּרֵי,דיסורי
וּמִבְעֵי,ומבעי
מְרַבְּיָא,מרביא
אִמְּרָא,אימרא
שָׂעִיר,שעיר
בְּשָׂעִיר,בשעיר
מִחַלַּף,מיחלף
מְקַרְקְשָׁא,מקרקשא
אַמְגּוּזָא,אמגוזא
בְּלָקָנָא,בלקנא
דִּמְלַךְ,דמלך
עֲבַדָא,עבדא
כַּוְּתָא,כוותא
וּמַנְּחָא,ומנחא
הַגָּדֵר,הגדר
נִפְנֶה,נפנה
וּבַבִּקְעָה,ובבקעה
שֶׁמִּתְעַטֵּשׁ,שמתעטש
אִיסִי,איסי
מַתְנֵי,מתני
רוֹאֵהוּ,רואהו
מִפֶּתַח,מפתח
הַבַּד,הבד
וְנִפְנִין,ונפנין
לַאֲחוֹרֵי,לאחורי
בִּטְהָרוֹת,בטהרות
הֵקֵלּוּ,הקילו
יַרְחִקוּ,ירחקו
דַּאֲקִלּוּ,דאקילו
פֵּרוּעוֹ,פירועו
סַפְדָנָא,ספדנא
צָנוּעַ,צנוע
בְּאוֹרְחוֹתָיו,באורחותיו
עֲיַלְתְּ,עיילת
וְיָדְעַתְּ,וידעת
שֶׁצָּנוּעַ,שצנוע
שֶׁנִּפְרָעִין,שנפרעין
הַסַּפְדָנִין,הספדנין
הָעוֹנִין,העונין
אַחֲרֵיהֶן,אחריהן
שֶׁנִּפְנָה,שנפנה
יַנְהִיג,ינהיג
וְעַרְבִית,וערבית
לְהִתְרַחֵק,להתרחק
וּבְלֵילְיָא,ובליליא
פַּנּוֹ,פנו
דְמָתָא,דמתא
חֶבְרַיָּא,חבריא
דִּבְעֵינָא,דבעינא
לְמִפְּנֵי,למפני
לְקֶרֶן,לקרן
תִּתְרַחֵק,תתרחק
מַשְׁמֵשׁ,משמש
וָשֵׁב,ושב
תֵּשֵׁב,תשב
וּתְמַשְׁמֵשׁ,ותמשמש
כְּשָׁפִים,כשפים
בְּאַסְפַּמְיָא,באספמיא
אִנְּשִׁי,אינשי
וִיתִיב,ויתיב
מִשְׁמֵשׁ,משמש
תַּקְּנְתֵּהּ,תקנתיה
תַּחִים,תחים
תַּחְתִּים,תחתים
חַרְשֵׁי,חרשי
דְחַרָּשָׁא,דחרשא
דְחַרָּשְׁתָא,דחרשתא
מִשְׁכָּב,משכב
שְׁכַב,שכב
הַקּוֹרָה,הקורה
בְּעַמּוּד,בעמוד
כְּאִסְטָמָא,כאסטמא
לְפַרְזְלָא,לפרזלא
יְצִיאָה,יציאה
מְזַבֵּן,מזבין
בְּדִינָרִי,בדינרי
דְּכָפְנַתְּ,דכפנת
דִּצָחֵת,דצחית
שְׁתִי,שתי
דְּרָתְחָא,דרתחא
קִדְרָךָ,קדרך
שְׁפֹךְ,שפוך
קַרְנָא,קרנא
קָרְיָא,קריא
בְּרוֹמִי,ברומי
תְּאֵנֵי,תאיני
דֹּאֲבוּךְ,דאבוך
זַבֵּן,זבין
עָיְלִיתוּ,עייליתו
בִּשְׁבִילֵי,בשבילי
בְּחַקְלָא,בחקלא
תֶּחֱזוֹ,תחזו
לְהַךְ,להך
יָתְבֵי,יתבי
וְלָאו,ולאו
נְחַר,נחר
לֵעוּל,ליעול
דִּנְפַק,דנפק
לְשֵׂעִיר,לשעיר
וּגְמַרְתְּ,וגמרת
דְשֵׂעִיר,דשעיר
מְדוּרָה,מדורה
מְצָאוֹ,מצאו
נָעוּל,נעול
פָּתוּחַ,פתוח
מְסֻכָּן,מסוכן
דַּחֲקֵהּ,דחקיה
וּנְפַק,ונפק
דְּרָקוֹנָא,דרקונא
שַׁמְטֵהּ,שמטיה
לְכַרְכְּשֵׁהּ,לכרכשיה
וְאֶתֵּן,ואתן
תַּחְתֶּיךָ,תחתיך
אֱדוֹם,אדום
לַהֲרָגֲךָ,להרגך
וַתָּחָס,ותחס
וָאֹמַר,ואמר
וְחַסְתִּי,וחסתי
לְשָׁאוּל,לשאול
הֲרִיגָה,הריגה
לְהָרְגוֹ,להרגו
צְנִיעוּת,צניעות
חָסָה,חסה
גִּדְרוֹת,גדרות
הַצֹּאן,הצאן
וְשָׁם,ושם
לְהָסֵךְ,להסך
וּמְעָרָה,ומערה
מִמְּעָרָה,ממערה
שֶׁסִּכֵּךְ,שסכך
כְּסֻכָּה,כסוכה
וַיָּקָם,ויקם
וַיִּכְרֹת,ויכרת
הַמְּעִיל,המעיל
